id,fecha,producto,categoria,cantidad,precio_unitario,region
1,2024-01-03,Laptop,Electronica,1,1500000,Bogota
2,2024-01-05,Teclado,Perifericos,3,85000,Medellin
3,2024-01-08,Monitor,Electronica,2,750000,Cali
4,2024-01-10,Mouse,Perifericos,5,45000,Barranquilla
5,2024-01-12,Auriculares,Perifericos,2,180000,Bucaramanga
6,2024-01-15,Webcam,Perifericos,1,220000,Bogota
7,2024-01-18,Disco SSD,Almacenamiento,3,310000,Medellin
8,2024-01-20,RAM,Almacenamiento,4,125000,Cali
9,2024-01-22,Tablet,Movil,1,980000,Bogota
10,2024-01-25,Smartphone,Movil,2,1200000,Barranquilla
11,2024-01-28,Laptop,Electronica,1,1450000,Bucaramanga
12,2024-01-30,Teclado,Perifericos,6,90000,Bogota
13,2024-02-02,Monitor,Electronica,1,820000,Medellin
14,2024-02-05,Mouse,Perifericos,8,48000,Cali
15,2024-02-07,Auriculares,Perifericos,3,195000,Barranquilla
16,2024-02-10,Webcam,Perifericos,2,235000,Bucaramanga
17,2024-02-13,Disco SSD,Almacenamiento,5,295000,Bogota
18,2024-02-15,RAM,Almacenamiento,2,130000,Medellin
19,2024-02-18,Tablet,Movil,3,950000,Cali
20,2024-02-20,Smartphone,Movil,1,1350000,Bogota
21,2024-02-23,Laptop,Electronica,2,1480000,Barranquilla
22,2024-02-26,Teclado,Perifericos,4,82000,Bucaramanga
23,2024-02-28,Monitor,Electronica,1,780000,Bogota
24,2024-03-03,Mouse,Perifericos,10,42000,Medellin
25,2024-03-06,Auriculares,Perifericos,1,175000,Cali
26,2024-03-09,Webcam,Perifericos,4,215000,Barranquilla
27,2024-03-12,Disco SSD,Almacenamiento,2,320000,Bucaramanga
28,2024-03-15,RAM,Almacenamiento,6,118000,Bogota
29,2024-03-18,Tablet,Movil,2,1010000,Medellin
30,2024-03-20,Smartphone,Movil,3,1280000,Cali
31,2024-03-23,Laptop,Electronica,1,1520000,Barranquilla
32,2024-03-26,Teclado,Perifericos,5,88000,Bucaramanga
33,2024-03-29,Monitor,Electronica,2,800000,Bogota
34,2024-04-02,Mouse,Perifericos,7,50000,Medellin
35,2024-04-05,Auriculares,Perifericos,4,185000,Cali
36,2024-04-08,Webcam,Perifericos,1,225000,Barranquilla
37,2024-04-11,Disco SSD,Almacenamiento,3,305000,Bucaramanga
38,2024-04-14,RAM,Almacenamiento,5,122000,Bogota
39,2024-04-17,Tablet,Movil,1,990000,Medellin
40,2024-04-20,Smartphone,Movil,2,1150000,Cali
41,2024-04-23,Laptop,Electronica,3,1490000,Barranquilla
42,2024-04-26,Teclado,Perifericos,2,86000,Bucaramanga
43,2024-04-29,Monitor,Electronica,1,760000,Bogota
44,2024-05-03,Mouse,Perifericos,9,44000,Medellin
45,2024-05-06,Auriculares,Perifericos,2,190000,Cali
46,2024-05-09,Disco SSD,Almacenamiento,4,315000,Barranquilla
47,2024-05-12,RAM,Almacenamiento,3,128000,Bucaramanga
48,2024-05-15,Tablet,Movil,2,970000,Bogota
49,2024-05-18,Smartphone,Movil,1,1320000,Medellin
50,2024-05-21,Webcam,Perifericos,3,230000,Cali
